Position,rating,title,review
1,평점5,본 리뷰내용은 제가 타쇼핑몰에서 구매 후 썼던 내용을 그대로 옮긴 내용임을 먼저 밝힙니다.--------------------------------------------------,"본 리뷰내용은 제가 타쇼핑몰에서 구매 후 썼던 내용을 그대로 옮긴 내용임을 먼저 밝힙니다.
--------------------------------------------------------------
키보드를 이렇게 비싼 돈을 주고 살 필요가 있는가에 대해서 무척이나 고민이 많았고, 제품 관련 블로그 및 유튜브 리뷰만 수십개를 보면서 생각에 생각을 더했습본니다.

이참에 아예 기계식 키보드로 넘어갈까도 했는데, 기계식 키보드는 일단 시작금액부터가 타 키보드와는 다르고, 한번 구매를 하면 이후부터는 보다 본인에게 맞는 축 종류 및 키캡 등을 찾아 계속 업글에 업글을 하는 경우가 많아서 기계식 키보드가 아닌 다른 성능좋은 키보드를 사는게 좋겠다고 판단했습니다.

그래서 오랜 고민을 마치고 구매한 제품이 바로 로지텍사의 이 MX KEYS입니다.

사실 로지텍사의 키보드는 나름 저도 많이 사용을 했었는데, 이제는 이 제품이 정말 마지막이라는 생각(?)으로 구입했습니다.

제품은 가격(?)만큼이나 묵직한 느낌입니다. 그래서 키보드가 밀린다는 생각은 들지 않습니다. 물론 이 키보드를 들고 다른 공간에 가서 놓고 쓰는데는 지장은 없겠으나, 가급적이면 한 곳에 놓고 쓰는 것이 좋겠다는 생각입니다.

아무래도 펜타그래프 타입 키보드의 끝판왕 제품이라 그런지 조용하면서 부드러운 타건감, 우수한 제품 마감 및 디자인 등 역시 비싼 몸값을 하는 제품이라는 판단입니다.

이런 일반적인 특징 외에 몇가지 좋은 점을 더 적어보면

1. C타입 케이블로 충전을 할 수 있는데, 이에 은근 편합니다. 저는 집에서 마음편하게 본 키보드를 쓰다 보니 백플레이트 LED도 켜놓고 계속 쓰는데, 좀 키보드를 오래 썼다 싶으면 그냥 C타입 케이블로 연결해서 충전을 하면 되니 좋더군요.

2. 블루투스를 이용해서 총 3대의 기계를 연결할 수 있습니다. 디바이스별 상황에 맞게 연결되니 무척 편리합니다.

3. 본 키보드는 상당히 전문적인 전용 프로그램이 지원됩니다. 이른바 로지텍옵션이라는 프로그램인데, Function키 설정, 프로그램 및 키별 맵핑, 백플레이트 LED 켜기 여부 등 세세한 변경이 가능하기 때문에 언제든지 본인 입맛에 맞게 설정이 가능합니다.

4. 게임을 위해서도 사용해 보았는데, 크게 반응이 늦다는 생각이 들지는 않았습니다만.. 어떤 분들은 게임용도로는 추천치 않으시더군요. ^^;

본 제품은 펜타그래프 키보드의 끝판왕이라 불릴만큼 매력을 가지고 있는 멋진 제품입니다. 다소 가격은 높은 편이나 구매 후 매우 만족하며 쓰고 있어 추천합니다.

PS) 22년 1월에 본 제품이 너무 마음에 들어서 회사에서도 집과 같은 환경에서 타이핑을 하려고 네이버 쇼핑에서 한대 더 구매했습니다."
2,평점5,두번째 구매에요. 거실에서 사용중이었는데 방에서 사용하려고 하나 더 구매했어요.키감이 진짜 좋고 소리도 타자 치면 약간 보글보글한 소리가 넘 좋아요. 통울림도 없고 사용감이 넘 조,"두번째 구매에요. 거실에서 사용중이었는데 방에서 사용하려고 하나 더 구매했어요.
키감이 진짜 좋고 소리도 타자 치면 약간 보글보글한 소리가 넘 좋아요. 통울림도 없고 사용감이 넘 조아서 편해요.
다만 이번 온 제품은 키 인쇄가 전 제품보다 약간 흐리더라고요. 사용하는데 뭔가 낯설다 했는데 키에 인쇄가 흐린건지 좀 가늘게 된 건지 모르겠어요. 암튼 그것 말고는 원하던 제품 하나 더 구입해서 만족해요. 사용할 때는 키스킨 제거하고 보관할 때는 키스킨으로 덮어놓고 있어요.
충전용이라 구입할 때 엄청 망설였는데 사용해보고 키감이 넘 좋아서 구입할 수 밖에 없었어요. 그냥 배터리 넣는 거면 오래 사용할 수 있을 것 같은데 주기적으로 충전 신경써야 하는데 백라이트 제거하고 사용하면 몇 달은 신경 안써도 되는 제품이에요.
디자인도 키감도 대부분 만족스러운 제품이에요."
3,평점5,기존에 게이밍 키보드라 높이가 높아 사무용으로는 적합하지 않았는데 높이가 딱 좋습니다. 손목 통증이 덜하길 바라면서 구매했는데 좋을 것 같아요. 키감도 좋고 소리도 많이 나지 않습,기존에 게이밍 키보드라 높이가 높아 사무용으로는 적합하지 않았는데 높이가 딱 좋습니다. 손목 통증이 덜하길 바라면서 구매했는데 좋을 것 같아요. 키감도 좋고 소리도 많이 나지 않습니다. 같이 구매한 스킨을 같이 쓰면 더 조용해지네요. 대신 스킨 사용시 키감이 약간 무겁게 느껴집니다. 디자인 소재 모두 좋아요.
4,평점4,키보드 자체는 매우 좋습니다. 키감도 확실히 부드럽고 좋아요. 디자인도 비싼만큼 이쁘고 깔끔하구요 무게도 보통의 키보드와 다르게 무겁습니다. 여러 컴터 전환속도도 빠른편이구요. 다,키보드 자체는 매우 좋습니다. 키감도 확실히 부드럽고 좋아요. 디자인도 비싼만큼 이쁘고 깔끔하구요 무게도 보통의 키보드와 다르게 무겁습니다. 여러 컴터 전환속도도 빠른편이구요. 다만... 회사에서 쓰려고 7개나 주문했고 거진 100만원을 썼는데 포장상태가 영... 댓글에서 많이 봤듯이 뽁뽁이라도 좀 둘러서 보내주시지 ㅠ 거금을 썼는데도 뽁뽁이 하나 없이 와서 상자 모서리가 찌그러진것도 있고 좀 그렇네요. 포장만 신경써주시면 소비자도 기분좋게 받을거같네요.
5,평점5,첫소감은 만족이에요 배송도 하루만에 받았고무게가 적당히 묵직해서 안정감있어요키 눌리는 깊이가 펜타그래프 치고는 깊은것도 제 취향이네요키를 튕기듯이 누르지 않으면 소음도 거의 없는,"첫소감은 만족이에요 배송도 하루만에 받았고
무게가 적당히 묵직해서 안정감있어요
키 눌리는 깊이가 펜타그래프 치고는 깊은것도 제 취향이네요
키를 튕기듯이 누르지 않으면 소음도 거의 없는 수준이라 사무실에서 쓰기에도 좋고
스페이스그레이 컬러도 세련되게 잘뽑힌것 같아요
로지텍 옵션 프로그램의 기능은 앞으로 사용하면서 찬찬히 훑어봐야겠어요

한가지 아쉬운점은 블루투스로 아이패드에 전환되는 속도가 타사의 3만원짜리 멀티페어링 키보드보다 느린점이에요"
6,평점5,2주 정도 사용하고 쓰는 리뷰입니다.1. 배송 : 에어캡으로 한번싸서 박스 흠집없이 잘 도착했습니다. 심플하면서도 고급스럽게 잘 포장되어있습니다.2. 사용 : - 오입력 : 기존,"2주 정도 사용하고 쓰는 리뷰입니다.

1. 배송 : 에어캡으로 한번싸서 박스 흠집없이 잘 도착했습니다. 심플하면서도 고급스럽게 잘 포장되어있습니다.
2. 사용 :
- 오입력 : 기존에 보급형 로지텍 키보드마우스세트를 사용할때는 오입력이 좀 많았는데, 이번에 mx keys는 타자 입력할때는 키보드 구분이 잘됩니다.
다만, f2, f5, 한글/한자 변경 단어가 조금 손에 안익어서 다른걸 누를때가 쪼금 있습니다.
- 타자 소리 : 마음에 듭니다. 굳.
3. 무게 : 얇아보여서 가벼운 줄 알았는데 처음 들었을 때, 엇? 무게가 좀 있네? 라는 생각을 했습니다. 어차피 집에서, 책상위에서 사용할거라 문제없습니다.
4. 디자인 : 굉.장.히 마음에 듭니다. 넵.
5. 배터리 : 건전지 없이 사용할 수 있는 무선키보드를 살려고 생각했던거라 마음에 듭니다. 건전지 사기도 귀찮고 집에 대량으로 있는게 아니기에 한번 충전하면 오래쓸 수 있는게 굉장한 장점인 것 같습니다.
6. 사진은 MX KEYS + MX MASTERS 3 + 펠트마우스패드입니다"
7,평점5,사무직군에 5년이상 종사중인 사람입니다로지텍 콰이어트315(키보드235 마우스330)3년째 쓰는중인데 마우스는 정말맘에드나 키보드 맘에안들어서ㅠ 고민하다가 큰맘먹고 주문했습니다본인,"사무직군에 5년이상 종사중인 사람입니다
로지텍 콰이어트315(키보드235 마우스330)
3년째 쓰는중인데 마우스는 정말맘에드나 키보드 맘에안들어서ㅠ 고민하다가 큰맘먹고 주문했습니다
본인스스로 타이핑소리에 민감한편인데 무소음키보드는 찾기어렵더라구요
이건 소리가 그리 크진않지만 거슬리지도않아서 맘에듭니다
블루투스 지원이안되는 옛날 모니터라 리시버도 있으니 편하게 바로쓸수있어 제게딱입니다
감사합니다
팜레스트도 살걸 조금 후회되네요ㅠ쓰다가 절실하면 구매해야겟죠

유튭다뒤져봤는데 키스킨 깐거 소리는못들어서
제가 직접 촬영햇습니다
다른분들께 도움이되길바래요"
8,평점1,"아무리 생각해도 황당해서 리뷰 남겨요이모델 키보드 검색하면 여러곳에서 나오는데 굳이 이 곳에서 산 이유는 ""로지텍 코리아 정품을 구매해야 하는 이유! 병행 수입/벌크 상품","아무리 생각해도 황당해서 리뷰 남겨요
이모델 키보드 검색하면 여러곳에서 나오는데 굳이 이 곳에서 산 이유는 ""로지텍 코리아 정품을 구매해야 하는 이유! 병행 수입/벌크 상품을 구매하시면, 국내 로지텍 서비스 센터에서 정상적인 교환 및 as를 받으실 수 없어요!"" 라는 상세페이지 문구때문이었어요.
이것저것 비교해서 사는것도 귀찮기도 하고요.
그렇게 구매를 하고 키보드를 받았는데 설치한날 키캡 파손이 났어요 뭐 제가 파손낸거니까 무료 as를 받을 생각이 없지만 유료as도 받을 수 없다니요?
as는 고객 지원센터에서만 된다고 해서 고객지원센터에 전화했더니 하시는 말씀이 아시다시피 로지텍은 한국 브랜드가 아니라 as는 무조건 교환만 되고 수리는 안된다고하시네요????
네??????


아니 고객 잘못이 아니라 그냥 초기불량이면 그거 교환 안해주는 곳이 어디있나요? 교환 안해주면 불법인데 그럼 다른 곳과 뭐가 다른 as가 없는거잖아요
아무리 차별화를 해서 물건을 팔아야 한다고 해도 이런 식으로 하나요?

상담하시는 분도 외국인이고 정말 황당해서 다시 전화했잖아요 잘못 된줄 알고

모든 기술, 고장 관련 문의는 콜센터를 이용해야 한다고 하고는 모든as는 제품 교환, 수리는 없음.
다시 전화하니 사설센터를 알아보라곸ㅋㅋㅋ
사설 센터에서 as할거 같으면 공식에서 왜 사나요?
어차피 공산품, 다 똑같은데 더 싼곳에서 사고 사설에 맡기죠.
as가 있으니까 그거 믿고 가격이 좀 더 나가도 공식에서 하는거죠
시간 아까워서 리뷰 안달고 그냥 넘어갈까했는데 정말 생각할 수록 어이가 없어서 달아요
다시 저거 사설 찾아서 as 맡길 생각하니까 그것도 개짜증나고 그런체로 2주가 지났네요
괜히 2개씩이나 사서 더 화가 나네요 마우스도 괜히 2개 샀어요"
9,평점5,"가격때문에 정말 고민하고 고민하고 고민하다 지른 키보드입니다. 평소에 로지텍 키보드만 사용중이기도 했고,조금 고가의 키보드를 써보고 싶던 중에 1. 풀배열 2. 사무용(조용한 소리","가격때문에 정말 고민하고 고민하고 고민하다 지른 키보드입니다. 평소에 로지텍 키보드만 사용중이기도 했고,
조금 고가의 키보드를 써보고 싶던 중에
1. 풀배열 2. 사무용(조용한 소리) 3.부드러운 키감 4.기본에 충실한 것 5.디자인 등 다섯가지를 크게 고려했는데 이 모델이 딱 적합해보였습니다.
폰으로 연결해서 키보드로 후기 쓰는 중인데.. 너무 좋아요 ㅜㅠㅜ 사무실에 들고가서 쓸 생각하니 벌써 기대되네요
배송 포장방법에 대해 후기가 말이 많던데 여전히 뽁뽁이는 없었습니다ㅋㅋ 하지만 이런 생각이 들었어요, ‘키보드 자체 2중 포장이 단차없이 잘 되어있기도 해서 + 키보드가 워낙 튼튼히 잘 만들어져서’ 자신감으로 그냥 보내는건가 싶기도 합니다 ㅋㅋㅋ 로지텍으로 내돈내산 쓰는 것들 중에 아직 고장난게 하나도 없거든요. 전자기기를 사랑하는 사람으로써 로지텍의 내구성에 대해서는 인정하는 바.. 개인적인 생각을 써봅니다 ㅋㅋ 어쨌든 키보드 짱짱 좋아요 로지텍 최고!"
10,평점5,역시 MX Keys,"사무용으로 사무실에서 사용하고 있는데 집에서 사용할려고 하나 더 추가 구매 했네요. 무엇보다 키감이 너무 좋은데, 와이프가 사용해보더니 키감이 크래프트 키보드보다 좋다고 평을 합니다.배송 빠르고 포장상태도 괜찮았습니다!와이프 평이 이리 빨리 반응해서 올줄 몰랐네요.어제 설치하고 와이프 평 올때까지 기다렸는데 이리 빨리 반응할 줄 몰랐습니다. 사무용으로 키보드 많이 쓰시는 분들께 추천드리고 싶습니다!나름 개봉 사진 올려요~구성은 블루투스로 연결해도 되지만 일반 데스크탑사용시에는 유니파잉 유에스비로 연결해서 쓰고 노트북 또는 패드는 블루투스로 우측 상단에 있는 1,2,3으로 기기 등록해서 쓰시면 하나의 키보드로 최대 4대까지 쓸수 있겠네요.(4대까지는 연결 안해봤어요.)개인적으로 3대 연결해서 씁니다(PC, 노트북, 아이패드)"
11,평점5,노트북 타건감을 좋아해서 mx keys,"노트북 타건감을 좋아해서 mx keys를 구매하게 되었습니다.
키보드가 묵직해서 타자칠 때 전혀 밀리지 않습니다. 안정감 진짜 미쳤어요.

그리고 박스도 2중으로 되어있어서 가격값 하는구나.. 싶은 마음이 들었어요.

저같은 경우는 버티컬과 함께 샀는데 이 경우 동글을 하나만 꽂아도 두개의 기기가 연결되어서 너무 편리했습니다.

그리고 다중페어링(?) 기능 너무 편해요!! 노트북과 아이패드 아이폰에 연결해서 사용중입니다. 기기변경할때 살짝의 로딩시간이 걸리긴 하지만 그래도 아이폰과 아이패드 화면에 직접 타자를 치는 것보다 훨씬 편리해서 이 기능 아주 잘 쓰고 있습니다.

컴퓨터 사용하실 때 여러 기기 사용하시는 분들 꼭 사세요,, 넘 추천드려요"
12,평점4,"사용환경 - 노트북 : 윈도우10, 내장 블루투스로 연결 - 데스크탑 : 윈도우10, 타사 저가 블루투스 동글은 등록이 안 됨 -> 제품에 동","사용환경
- 노트북 : 윈도우10, 내장 블루투스로 연결
- 데스크탑 : 윈도우10, 타사 저가 블루투스 동글은 등록이 안 됨
-> 제품에 동봉된 로지텍 전용 동글 사용하여 연결

좋아요
- 디자인 깔끔하고 재질이 좋아 튼튼하고 짱짱한 느낌이 있음.
- 백라이트 밝기를 여러 단계로 조절할 수 있음
- 내장 배터리 채용, 사용기간이 길어 충전에 신경이 많이 안 쓰임.
- 블루투스 연결이 빠르고 안정적으로 동작.
- 제품이 무게감 있고 고무패킹의 접지력이 좋아 잘 밀리지 않음.
- 펑션키를 스위칭 할 수 있어 다양한 프로그램에서 단축키 사용하는
데 문제 없고 로지텍 소프트웨어로 커스텀 설정도 가능함.
- 타이핑 소음이 아주 작아 시끄럽지 않음.

아쉬워요
- 로지텍 USB 동글이 타사 블루투스 제품은 인식 못하는 것 같음.
노트북 내장 블루투스로는 MX 키보드가 잘 잡혀서 문제가 없었는데
데스크탑에서 타사 블루투스 동글로 MX 키보드, Master 마우스 등록
이 안돼서 결국 제품에 동봉된 로지텍 동글을 꽂고 전용 드라이버와
프로그램을 설치하여 등록, 사용할 수 있었음.
로지텍 동글 하나로 로지텍 MX 키보드, Master 마우스는 인식되는데
타사 블루투스 헤드셋은 인식이 안돼서 타사 블루투스 동글을 따로 사
용해야 데스크탑에서 키보드, 마우스, 헤드셋을 사용할 수 있었음.
- 키 버튼 모양은 타이핑하기 나쁘지 않은 것 같은데 타이핑할 때 약간
의 저항감이 있음. 물 흐르듯 자연스럽게 타이핑이 되면 좋을텐데 약간
꾹 눌러줘야 되는 느낌이라, 좋은 것 같기도 하고 불편한 것 같기도 해
서 아리송함. 일단 적응이 필요할 듯.

팜레스트는
- 장점은 말랑말랑함. 디자인이 깔끔함.
- 단점은 무게가 가벼워 자꾸 이리저리 움직이고 길이와 폭이 짧아 양손
을 제대로 커버하지 못함. 때가 잘 탈것 같아 보임.

총평은요
- 회사에서 사용하는데 어쨌든 잘 연결되고 기존 키보드보다 타이핑 잘
되고 조용해서 완전 만족합니다.
불편한 점은 있지만 문제라고 할 정도는 또 아니라서..
잘 쓸 것 같아요ㅎㅎ
- 팜레스트는 비추합니다. 쓸 만은 하지만 불편함이 더 큰 것 같아요.
무게를 더 늘리고 바닥 접지력이 개선돼야 할 것 같네요."
13,평점5,2~3만원짜리 아이락스 키보드만 사용하다가 처음으로 13만원 가까이 하는 제품을 구입해봤는데 고급스럽고 만족스럽습니다. 단지 한영 전환키 누를 때 자주 스페이스바가 눌리는게 불편합,"2~3만원짜리 아이락스 키보드만 사용하다가 처음으로 13만원 가까이 하는 제품을 구입해봤는데 고급스럽고 만족스럽습니다. 단지 한영 전환키 누를 때 자주 스페이스바가 눌리는게 불편합니다.

묵직함
키감좋은
두께나 각도 좋음
3개까지 기기 전환하는거 너무 편함."
14,평점5,[편의성]-멀티페어링 : 구매의 가장 큰 이유. 컴퓨터/노트북 전환하는데 1초 걸려 업무 생산성을 많이 높힘.[타건감]-펜타그래프 : 기존 펜타그래프 끝판왕이라는 레노보 슬림 패드,"[편의성]
-멀티페어링 : 구매의 가장 큰 이유. 컴퓨터/노트북 전환하는데 1초 걸려 업무 생산성을 많이 높힘.

[타건감]
-펜타그래프 : 기존 펜타그래프 끝판왕이라는 레노보 슬림 패드와 아이락스 등 펜타그래프를 사용했음. 회사 선배가 쓰길래 내가 쳐보니까 뭔가 손에 힘이 더 들어가는 느낌이고, 너무 비싸서 안삼. 물론 레노버 패드도 비싸긴 함.
-타 펜타그래프 대비 장점 : 아이락스보다 흔들림이 없으며, 펜타그래프보다 키보드 휨이 없는 장점이 있음.
- 소음 : 소음을 매우 싫어하고, 사무실 분위기 때문에 눈치보여서 늘 펜타그래프와 저소음적축을 씀. 저적보다도 조용하고, 아이락스/레노버보다 조용함. 이미 충분히 조용하지만 더 조용함.
- 쇠소리 : 다른 제품은 엔터키가 넓어서 그런지 찰랑 거리는 쇠소리가 나는데 이 키보드는 없음

[미관]
-검/회 : 얇고, 슬림하며 색감도 사무실 인테리어를 더 나아보이게 함. 원래는 아예 검정색으로 사려다가 먼지가 너무 잘보여서 이 색으로 샀는데 만족함

[가격과 정품]
-결론적으로 가격 저렴, 정품 맞음. 다른 스마트스토어 대비 저렴한 이유는 2020년 생산모델이라서 그런 듯. 해킹 이슈 때문에 로지볼트로 최근에 바뀌었는데 이 모델은 유니파일 모델임. 그래서 해킹 이슈는 있음.


다른 분들도 즐거운 타건생활/사무실 근무 하세요~"
15,평점5,"지금 이 키보드 연결해서 후기 쓰고 있는데, 일단 기분은 좋습니다. 고대하던 물건을 받았고, 문제에 하자 없는 것 확인했으니까요. 태풍이 중간에 걸려 있어서 배송을 좀 기다려야했지","지금 이 키보드 연결해서 후기 쓰고 있는데, 일단 기분은 좋습니다. 고대하던 물건을 받았고, 문제에 하자 없는 것 확인했으니까요. 태풍이 중간에 걸려 있어서 배송을 좀 기다려야했지만 싸게 잘 구입한 것 같습니다. 한국 정품은 너무 비싸고 굳이 한글 자판이 필요하지 않아서 후기 찾아보고 이 제품으로 구입했는데 저는 만족합니다. 가격이 좀 후덜덜해서 가성비를 내려면 제가 잘 사용을 해야할 것 같은데 앞으로 좀 공부해서 기능들 좀 익혀서 잘 사용해보려 합니다. 일단 외관이나 제품은 하자 없고 좋은 제품으로 받았고, 제주도까지 안전하고 깨끗하게 잘 도착했습니다. 맥에는 아직 적용 안해봤지만 윈도우에서는 잘 돌아가고, 블루투스 3개까지 연결할 수 있어서 패드까지 연결해서 사용할 수 있게 되어 앞으로 활용에 기대가 됩니다. (리뷰 추가) 사용을 조금 해보니 이 키보드는 장점이 정말 많은 것 같습니다. 기본적인 키감 등 모든 것은 기본 이상이고, 무엇보다 책상에서 밀리지 않습니다. 제가 고급 키보드를 잘 쓰지 않아서 그렇기도 하겠지만, 이렇게 견고하고 손에 감기면서 밀리지 않는 키보드는 처음이네요. 그리고 배터리 관련해서 리뷰한 사람들이 적어서 추가하는데요, 배터리를 충전하면 오른쪽에 초록불이 들어오고 깜박입니다. 완충이 되면 깜박임이 멈추고요. 아무쪼록 쓸수록 만족감이 높아지는 제품이길 기대해봅니다."
16,평점5,"병행제품이라 한글 각인이 없지만 영문정각이 주는 심플한 멋은 오히려 매력입니다.스페이스바의 길이가 일반 키보드와 조금 달라, 처음에는 한/영 전환에 애를 먹지만 금방 적응됩니다.그","병행제품이라 한글 각인이 없지만 영문정각이 주는 심플한 멋은 오히려 매력입니다.
스페이스바의 길이가 일반 키보드와 조금 달라, 처음에는 한/영 전환에 애를 먹지만 금방 적응됩니다.
그리고 넘버패드 '-' 키 위에 윈도우 락 키가 위치하고 있으니,
작업 중 낭패를 보기 싫으신 분들은 Logi Option 프로그램으로 키 매핑 하시기 바랍니다.

윈도우 피씨, 갤럭시 탭, 아이폰에 물려뒀는데 전체적으로 전환속도도 빠르고 인식도 잘 됩니다.

키 레이아웃은 홍보하는 것 처럼 자동전환이 되는 것 같습니다. (iOS 한영전환-->Caps lock)

전체적으로 만족합니다."
17,평점4,"로지텍 mx keys 구매 후기23.5.10 구매, 23.5.12 배송 완료/ 팜레스트와 함께 구매빠른 배송 굿 mx keys vs 마이크로ooo 서피스 키보드둘 다 예전부터 필자","로지텍 mx keys 구매 후기
23.5.10 구매, 23.5.12 배송 완료/ 팜레스트와 함께 구매
빠른 배송 굿

mx keys vs 마이크로ooo 서피스 키보드
둘 다 예전부터 필자 마음속의 경쟁 상대였음,
가격대 비슷한 편, 타건감이 서로 다르긴 하지만 좋다는 리뷰를 봐서.. 매우 고민
고민에 고민에 고민 3번쯤 더 하다가 한번 로지텍 키보드 사보자! 하는 마음으로 구매

mx 기계식 키보드도 있길래 그 제품으로 구매할까 고민했지만
가격대가 있는 키보드는 구매해 본 적이 없는 키보드 어린이라서 무난하게 펜타그래프 키보드 도전!
하지만 현재 mx keys로 리뷰 작성 중인데 기계식 키보드도 사고 싶다..

필자는 타자를 세게 탁탁탁 치는 편인데 얘는 살살 토도독 잘 쳐짐
키보드 구매할 때 무게는 고려하지 않았음 어차피 거의 집에서 사용할 용도이기 때문,
키보드가 뭐 얼마나 무거울까 어차피 하는 생각이었는데 직접 실물로 받아보니까 무거움
생각보다 무게가 나가서 조금 놀람

Logi Option+ 키보드 블루투스로 연결하니 자동으로 설치 안내해줘서 설치함
버튼마다 다양한 옵션으로 커스텀해서 사용 가능"
18,평점4,사무용으로,"인생의 하루 1/4는 사무실에서 데스크 작업을 하는데 좋은걸 쓸 필요가 있겠다 싶어기존에 쓰던 보급형 무선 키보드 마우스를 던져버리고 내돈내산으로 사무용 키마셋으로 이 제품을 구매했어요. MX KEY 와 MX MASTER3 인데요.아직 키보드는 적응 하지 못했지만, 마우스는 그립감 부터 착 감기고 너무 좋네요.키보드는 일단 손에 익는 데에 버튼 위치라던지 버튼의 촉감 등이 적응이 필요하다고 보아요.근데 쓰면 쓸 수록 착착 감기는 키감이 마음에 드네요.기존 쓰던거는 무선 무소음형 로지텍 키보드 마우스 세트 였는데 약 4-5만원 하는 제품으로 기억해요.이건 회사 보급품 이었구요.지금은 제 돈 써서 제 컴의 키보드 마우스를 바꾸었어요.다만 보통 예전 MS 마우스 등을 사용 할 때에도 무상보증 AS가 3년은 되었던 것 같은데 요 10만원 가까이 하는 마우스가 보증기간이 1년 밖에 안된다는 점이 아쉽네요.손이 많이 가는 제품인 만큼 잔고장도 많을 텐데, 아쉬워요.저는 확인 하지 못하고 의래 2-3년은 하겠지 했는데 제품등록 하고보니 그걸 알게 되어, 사실 1년 보증을 알았다면 구매를 고려 했을 수도 있겠다 싶네요.제품은 정말 좋아요.1년 써보고 어떤지는 판단 해 보아야 겠어요.사무실 업무 업그레이드를 위해 자기돈을 투자하면서 까지 업무효율을 늘리고자 하는 나란 직원은 회사에서 상을 줘도 될것 같아요. >_<"
19,평점5,키보드는 역시 로지텍비싼거 큰맘먹고 주문했는데 진짜 돈값해요다만 생각보다 조금 무거운거(들 일이 별로 없어서 ㄱㅊ)랑백라이트?없어도 된다 생각했는데 글자랑 문양(?)들에서 빛이 나,"키보드는 역시 로지텍
비싼거 큰맘먹고 주문했는데 진짜 돈값해요
다만 생각보다 조금 무거운거(들 일이 별로 없어서 ㄱㅊ)랑
백라이트?없어도 된다 생각했는데 글자랑 문양(?)들에서 빛이 나오는 구조라 키스킨을 낀 채로 라이트가 없으면 잘 안 보여요. 그래서 라이트 켠 채로 쓰게 됩니다; (약간 배터리 걱정하게 되는ㅎㅎ;;)
그리고 팜레스트는 생각보다 낮긴 한데 키보드 사이즈에 딱 맞아서 좋아요. 좀 비싸긴 하지만 금방 떨어질것같은 그런 소재도 아니고요.
암튼 전체적으로 다 만족스럽습니다 >,<"
20,평점5,기계에 관심이 없어서 잘 모르지만타건감도 좋고 무엇보다 예쁩니다!!!애플키보드랑 고민했는데 이게 더 예쁜 것 같아요다만 한영키 전환이 아직도 적응이 안되었고맥os랑 윈도우 왔다갔다,"기계에 관심이 없어서 잘 모르지만
타건감도 좋고 무엇보다 예쁩니다!!!
애플키보드랑 고민했는데 이게 더 예쁜 것 같아요

다만 한영키 전환이 아직도 적응이 안되었고
맥os랑 윈도우 왔다갔다 할 때 한영전환이 달라서 살짝 헷갈립니다

그것만 제외하면 딱 가격 값하는 것 같아요
좋습니다 사세요!"
